subject_id,feature_of_interest,s_bifidobacterium_longum,f_bacteroidaceae,s_prevotella_sp_am42_24,s_prevotella_stercorea,f_rikenellaceae,p_firmicutes,p_spirochaetes
hadza_10,Non_industrialized,0,0.02149,0.11216,0.00304,0,3.54453,0.05164
hadza_12,Non_industrialized,0,0.04324,1.54187,2.55676,0,5.82775,0.03323
hadza_13,Non_industrialized,0,0,0.19643,0.04369,0,1.91983,0.40055
hadza_16,Non_industrialized,0,0.01499,0.1284,0.30394,0,3.61991,0.13634
hadza_18,Non_industrialized,0,0.021,1.85372,1.12225,0,4.9847,0.44224
hadza_2,Non_industrialized,0,0.00596,0.12695,0.03957,0,3.76168,0.49177
hadza_20,Non_industrialized,0,0.03954,0.43852,0.07,8.9e-4,2.37872,0.03002
hadza_22,Non_industrialized,0,0.01066,0.04476,0.00485,0,4.36027,0.00886
hadza_24,Non_industrialized,0,0.09272,0.02756,0.45942,0,4.00962,0.11404
hadza_25,Non_industrialized,0,0,0.02001,0.02054,0,0.50546,0.07227
hadza_3,Non_industrialized,0,0.014,0.09475,0.13435,0,5.30639,0.16515
hadza_6,Non_industrialized,0,0.05892,0.07827,0.3391,0,2.50813,0.24628
hadza_8,Non_industrialized,0,0.0164,0.14595,0.0297,0,3.60021,0.02877
hadza_9,Non_industrialized,0,0.11934,1.36308,1.65521,0,4.24661,0.15269
hmp_12,Industrialized,0,22.46111,0,0,4.53035,14.15081,0
hmp_16,Industrialized,0.09545,51.05325,0,0,13.7458,8.14995,0
hmp_2,Industrialized,0,16.1615,0,0,3.07485,10.79248,0
hmp_20,Industrialized,0,20.50781,0,0,4.99013,16.7128,0
hmp_21,Industrialized,0,21.16284,0,0,3.52136,16.52638,0
hmp_27,Industrialized,0.11056,21.01533,0,0,9.08698,5.60352,0
hmp_4,Industrialized,0.02449,60.19088,0,0,3.00272,6.47544,0
hmp_7,Industrialized,0.13873,4.73598,0,0,0.9682,28.87959,0
italy_1,Industrialized,0.44158,8.98948,0,0,0.75993,17.39118,0
italy_3,Industrialized,0.4641,4.14418,0,0,0.56116,19.97294,0
italy_4,Industrialized,0.17115,3.58203,0,0,0.10255,21.69316,0
italy_8,Industrialized,0.27716,0,0,0,0.01761,12.90802,0
lewis_10,Non_industrialized,0,0.01326,1.92969,0.65277,0,8.12427,0.248
lewis_100,Non_industrialized,0,0.50416,0.21082,0,0,5.76959,0
lewis_101,Non_industrialized,0,0.10292,0.15461,0,0,13.5529,0
lewis_102,Industrialized,0.68395,2.11872,0,0,0,22.82485,0
lewis_103,Industrialized,5.08743,0.44384,0,0,0,27.03291,0
lewis_104,Industrialized,1.6359,2.12852,0,0,0.42007,21.79717,0
lewis_105,Industrialized,0,6.43394,0,0,1.53832,13.41643,0
lewis_106,Non_industrialized,0,0,0.00281,6.3e-4,0,5.81933,0.02027
lewis_107,Industrialized,0.63855,22.37959,0,0,3.23199,13.27806,0
lewis_108,Non_industrialized,0,0,2.18618,0.60718,0,5.14924,0.07521
lewis_109,Non_industrialized,0,0,0,0,0,0,0
lewis_110,Industrialized,0.01221,3.83349,0,0,0.63262,24.4152,0
lewis_111,Industrialized,2.07315,7.09469,0,0,1.13873,22.6837,0
lewis_112,Industrialized,0.0931,6.91698,0,0,1.47037,14.46723,0
lewis_113,Non_industrialized,0,0,3.7e-4,0.05106,0,3.41991,0.21497
lewis_114,Non_industrialized,0,0.18441,0.16552,0.00951,0.00963,5.54974,0.20302
lewis_115,Non_industrialized,0,0.55695,0.51955,1.83487,0.01449,6.93698,0
lewis_116,Non_industrialized,0,0.3703,0.61921,2.27237,0,7.00515,0
lewis_13,Industrialized,0.09172,1.27731,0.006,0.00371,0.88404,22.69405,0
lewis_16,Industrialized,0.1316,0.76777,0,0,0.0622,26.86503,0
lewis_17,Industrialized,1.13026,0.95856,0,0,0,31.91361,0
lewis_2,Non_industrialized,0,0,0.06431,0.03226,0,6.80645,0.00765
lewis_20,Industrialized,0.08061,1.01376,0,0,0.57742,12.71349,0
lewis_21,Industrialized,0.07674,6.76866,0,0,1.58541,19.5187,0
lewis_22,Industrialized,0.67856,0.07525,0,0,0.01274,31.59519,0
lewis_23,Industrialized,0.33855,0.08671,0,0,0.03572,27.3755,0
lewis_24,Industrialized,0.00254,5.06881,0,0,0.21808,18.12087,0
lewis_26,Industrialized,0.33793,3.42676,0,0,0.5456,23.0846,0
lewis_27,Industrialized,0,1.80451,0,0,0.89589,19.2173,0
lewis_3,Non_industrialized,0,0.01218,0.12007,1.02241,0,9.95286,0
lewis_31,Non_industrialized,1.51086,0.4691,0.44518,0,0.01163,2.51595,0
lewis_32,Non_industrialized,0,0.02347,0.0589,0.00333,0.00104,7.55738,0.15121
lewis_34,Non_industrialized,0,0.01526,5e-4,0.03166,0,4.12287,6.6e-4
lewis_35,Non_industrialized,0,0.00803,0.06879,0.11972,0,8.94299,0.87936
lewis_36,Non_industrialized,0,0.055,0.01127,0.5063,0.00269,14.18483,0
lewis_38,Non_industrialized,0,0.02045,0.40171,0.02886,0,17.71408,0.27552
lewis_39,Non_industrialized,0,0.01467,0.02392,0.11853,0,7.02563,0.22239
lewis_4,Non_industrialized,0,0.01443,0.18855,0.01351,0,8.90105,0.03838
lewis_40,Non_industrialized,0,0,0.00521,0,0,9.04919,0.06908
lewis_42,Non_industrialized,0,0.01202,0.12193,0.13888,0,6.41461,0.47427
lewis_43,Non_industrialized,0,0.00388,0.03103,0.01351,0,4.96082,0.01632
lewis_44,Non_industrialized,0,0.00139,0.22232,0.02121,0,1.84309,0.40756
lewis_45,Non_industrialized,0,0.01731,0.17944,0.00506,0.00243,12.56116,0
lewis_47,Non_industrialized,0,0.86191,0.18071,0.00668,0.02543,5.80225,0
lewis_48,Non_industrialized,0,0.34375,0.1825,0.00627,0,13.39855,0
lewis_49,Non_industrialized,0,0,0,0,0,0.96297,0
lewis_5,Non_industrialized,0,0,0.17444,0.00873,0,3.69821,0.2313
lewis_50,Non_industrialized,0,0,0,0,0,0.34785,0
lewis_52,Non_industrialized,0,0,0,0,0,4.86852,0
lewis_53,Non_industrialized,0,0,0,0,0,0.35542,0
lewis_54,Non_industrialized,0,0,0,0,0,1.23547,0
lewis_55,Non_industrialized,0,0,0,0,0,0.53881,0
lewis_56,Non_industrialized,0,0,0.8563,0,0,3.00782,0
lewis_57,Non_industrialized,0,0,0,0,0,2.36797,0
lewis_58,Non_industrialized,0,0,0,0,0,6.79826,0
lewis_6,Non_industrialized,0,0.00289,0,0.00125,0,2.43186,0.01184
lewis_60,Industrialized,2.21112,1.92349,0,0,0.38223,24.08565,0
lewis_61,Industrialized,0.02751,0.90977,0,0,0.67796,25.41725,0
lewis_62,Industrialized,0.03781,1.08913,0,0,0,24.79686,0
lewis_63,Industrialized,0.76211,9.40395,0,0,0,15.22629,0
lewis_64,Industrialized,0,3.54859,0,0,0.78333,29.36996,0
lewis_66,Industrialized,1.60197,0.72579,0,0,0,36.56345,0
lewis_67,Industrialized,7.40523,0.36394,0,0,0,27.4834,0
lewis_68,Industrialized,0,23.3358,0,0,0,14.74443,0
lewis_69,Industrialized,3.04153,7.0771,0,0,1.12029,26.3639,0
lewis_7,Non_industrialized,0,0.00883,0.00436,0.06379,0,5.39635,0.00996
lewis_70,Industrialized,0,0.34344,0,0,0.23939,10.38167,0
lewis_71,Industrialized,0,8.37568,0,0,1.8406,24.22976,0
lewis_72,Industrialized,0.92117,0,0,0,0,36.56033,0
lewis_73,Industrialized,0.39878,0,0,0,0,31.56564,0
lewis_74,Industrialized,0,5.7601,0,0,0,19.79191,0
lewis_75,Industrialized,0.65045,27.75484,0,0,4.54738,13.39393,0
lewis_76,Industrialized,2.60165,2.56525,0,0,0,24.91412,0
lewis_77,Industrialized,0.50859,3.50678,0,0,0.41978,25.91837,0
lewis_79,Non_industrialized,0,0.04455,0.07913,0.11435,0,12.38608,0.164
lewis_8,Non_industrialized,0,0.01251,1.08195,0.1366,0,8.29471,0.01071
lewis_80,Non_industrialized,0,0,0.12382,0.00205,0,10.53466,0.01237
lewis_81,Non_industrialized,0,0,0.11053,0.39187,0,10.5443,0.72346
lewis_83,Non_industrialized,0,0,0.00485,0,0,7.90299,0.11872
lewis_84,Non_industrialized,0,0,0,0.05586,0,11.33859,0.09611
lewis_86,Non_industrialized,0,0,0.03577,0.06038,0,12.37341,0.76575
lewis_87,Non_industrialized,0,0.01408,0,0.52933,0,18.7852,0
lewis_88,Non_industrialized,0,0,0,0,0,3.28013,1.36133
lewis_89,Non_industrialized,0,0,0,0,0,6.04114,0
lewis_9,Non_industrialized,0,0.15016,0.12849,0.02155,0,8.20763,0.46224
lewis_93,Non_industrialized,0,0,0,0,0,12.82053,0
lewis_94,Non_industrialized,0,0.08602,0.11337,0,0,5.37375,0.18751
lewis_95,Non_industrialized,0,0,0.16765,0.12982,0,6.35727,0.40943
lewis_97,Non_industrialized,0,0,0.19065,0,0,0.90915,0.2198
lewis_98,Non_industrialized,0,0,0.22095,0,0,12.03045,0
mlvs_10,Industrialized,0,12.47628,0,0,0,5.54927,0
mlvs_13,Industrialized,0,3.68531,0,0,0.37467,5.32754,0
mlvs_14,Industrialized,0.03446,2.0216,0,0.01178,1.58196,9.91332,0
mlvs_15,Industrialized,0.06224,0.23626,0,0.03525,0,5.11829,0
mlvs_16,Industrialized,0,0.01782,0,0,0,0.13479,0
mlvs_17,Industrialized,0,8.43977,0,0,1.36565,9.71947,0
mlvs_18,Industrialized,0.38073,8.57228,0,0,1.16679,8.98732,0
mlvs_19,Industrialized,0,9.51747,0,0,0.66004,13.05872,0
mlvs_20,Industrialized,0.00393,2.34589,0,0,1.70926,9.64537,0
mlvs_21,Industrialized,0.01363,10.01296,0,0,0.97231,12.46821,0
mlvs_22,Industrialized,0.07228,5.15405,0,0,0.35254,10.9891,0
mlvs_24,Industrialized,0.36598,2.53233,0,0,1.38944,12.37008,0
mlvs_25,Industrialized,0.04603,14.64971,0,0,1.39598,5.65663,0
mlvs_26,Industrialized,0.09506,5.15358,0,0,1.42003,5.61028,0
mlvs_27,Industrialized,0,5.15348,0,0,0.77282,13.85749,0
mlvs_28,Industrialized,0,1.43022,0,0,0.67942,5.65978,0
mlvs_29,Industrialized,0.13229,6.13099,0,0,1.13822,11.30389,0
mlvs_3,Industrialized,0.02146,1.2258,0,0,0.32716,4.28805,0
mlvs_30,Industrialized,0,8.61027,0,0,1.3586,4.69651,0
mlvs_31,Industrialized,0.11395,1.84307,0,0,1.76043,7.46344,0
mlvs_32,Industrialized,0,8.63394,0,0,0.71261,13.39826,0
mlvs_33,Industrialized,0,3.04847,0,0,2.4751,5.39734,0
mlvs_34,Industrialized,0.21273,4.50467,0,0.0227,2.45565,5.93956,0
mlvs_36,Industrialized,0,4.39655,0,0,2.65554,9.20426,0
mlvs_5,Industrialized,0.02872,5.67088,0,0,3.05683,8.23942,0
mlvs_6,Industrialized,0,5.40709,0,0,0.73856,11.43012,0
mlvs_7,Industrialized,0,4.38189,0,0,0.13835,9.05343,0
mlvs_8,Industrialized,0.02051,2.59901,0,0,0.91174,8.03875,0
mlvs_9,Industrialized,0,3.56874,0,0,1.3738,6.22821,0
uci_1,Industrialized,6.02848,1.24259,0,0,0,17.95301,0
uci_12,Industrialized,1.71963,1.40273,0,0,0,47.30402,0
uci_13,Industrialized,0,0.52923,0,0,0.15724,31.15788,0
uci_14,Industrialized,0,2.67253,0,0,0.72556,30.83075,0
uci_15,Industrialized,0,1.30029,0,0,0.29535,31.05938,0
uci_16,Industrialized,0,0.76956,0,0,0.32935,29.45715,0
uci_18,Industrialized,2.14733,3.48549,0,0,0.54199,36.70068,0
uci_2,Industrialized,18.61231,0.37656,0,0,0,10.56987,0
uci_20,Industrialized,3.28818,1.22059,0,0,0.39289,38.06121,0
uci_21,Industrialized,0,6.85718,0,0,0,34.66006,0
uci_22,Industrialized,0,25.40544,0.03113,0,0,13.80943,0
uci_23,Industrialized,0,6.86711,0,0,0,35.30313,0
uci_24,Industrialized,0,23.81775,0,0,0,15.42366,0
uci_25,Industrialized,0.25603,0.87754,0,0,0.42757,30.42633,0
uci_26,Industrialized,2.28948,0.63825,0,0,0.19939,25.24201,0
uci_27,Industrialized,0.85022,4.60752,0,0,1.16195,22.22075,0
uci_29,Industrialized,0,0.24446,0.03891,0,0.65063,26.08445,0
uci_3,Industrialized,7.21308,0,0,0,0,12.75888,0
uci_30,Industrialized,0,0.36467,0.00357,0,1.03696,25.46855,0
uci_31,Industrialized,0.02543,0.02418,0.07634,0,0.35325,27.91269,0
uci_32,Industrialized,0.05826,0.11721,3.06484,0,0,20.21304,0
uci_33,Industrialized,7.8183,1.04532,0,0,0,34.80386,0
uci_34,Industrialized,4.39827,3.19357,0,0,0,35.11821,0
uci_35,Industrialized,1.8258,0,0,0,0,44.8731,0
uci_36,Industrialized,6.4318,4.23063,0,0,0,27.37678,0
uci_37,Industrialized,3.7008,0,0,0,0,36.73909,0
uci_38,Industrialized,2.96239,0.40655,0,0,0,19.42954,0
uci_4,Industrialized,7.66888,12.3613,0,0,0,19.10739,0
uci_40,Industrialized,1.82154,0.88014,0,0,0,24.64242,0
uci_41,Industrialized,1.59825,0.01099,0,0,0,19.13072,0
uci_42,Industrialized,3.90701,0.1631,0,0,0,45.98549,0
uci_43,Industrialized,2.71267,1.70392,0,0,0,34.3931,0
uci_47,Industrialized,0,0,0,0,0,43.78356,0
uci_49,Industrialized,22.55426,0,0,0,0,22.20307,0
uci_5,Industrialized,10.1034,0.02451,0,0,0,8.52722,0
uci_50,Industrialized,0.13851,2.11348,0,0,0,37.48309,0
uci_53,Industrialized,2.19833,0.25452,0,0,0,37.17883,0
uci_54,Industrialized,1.04278,7.03842,0,0,0,34.09012,0
uci_55,Industrialized,1.69596,0.08701,0,0,0,37.87187,0
uci_57,Industrialized,3.87995,1.0438,0,0,0,11.37185,0
uci_58,Industrialized,1.5927,0.23169,0,0,0,16.19897,0
uci_6,Industrialized,0.09941,0.19359,0,0,0.21782,32.86676,0
uci_60,Industrialized,1.66368,0.86977,0,0,0,21.28895,0
uci_61,Industrialized,6.87069,0.23795,0,0,0,17.45235,0
uci_62,Industrialized,0.21003,19.20217,0,0,5.65001,25.8703,0
uci_63,Industrialized,1.01076,6.1187,0,0,2.2364,35.47737,0
uci_65,Industrialized,0.4629,9.91528,0,0,3.12889,34.59099,0
uci_68,Industrialized,2.81422,1.69351,0,0,0.35425,31.85744,0
uci_69,Industrialized,4.1154,1.83748,0,0,0.20017,29.71347,0
uci_70,Industrialized,1.77609,0.09526,0,0,0.22089,29.32543,0
uci_71,Industrialized,2.68287,3.25294,0,0,0.59925,27.48407,0
uci_72,Industrialized,2.91409,0.10031,0,0,0,31.20294,0
uci_73,Industrialized,2.42309,8.62448,0,0,0.77999,29.88511,0
uci_74,Industrialized,6.16602,5.00361,0,0,0.22096,39.39283,0
uci_75,Industrialized,4.52031,4.29674,0,0,0.1938,39.00872,0
uci_76,Industrialized,2.88196,3.84865,0,0,0.21832,40.96532,0
uci_77,Industrialized,2.35885,15.359,0,0,1.09883,28.53853,0
uci_78,Industrialized,1.25417,1.33869,0,0,0.37214,38.984610000000004,0
uci_80,Industrialized,1.68418,0,0,0,0,36.84842,0
uci_81,Industrialized,1.91307,1.41489,0,0,0.52638,36.48035,0
uci_82,Industrialized,6.82206,0.72258,0,0,0,17.47088,0
uci_83,Industrialized,5.93123,0.25761,0,0,0,19.50965,0
uci_84,Industrialized,5.70347,0.67856,0,0,0.00191,27.58568,0
uci_85,Industrialized,0.60498,7.57091,0,0,0.09802,22.42139,0
uci_86,Industrialized,1.6956,0.78195,0,0,0,21.063110000000002,0
uci_9,Industrialized,5.38402,0.86316,0,0,0,39.55135,0
